metres,bucket,slug,name,address,postcode,town,storedLat,storedLng,postcodeLat,postcodeLng
2011,wrong area,the-aesthetics-doctors-skincare-microneedling-polynucleotides-i-botox-i-fillers-edgbaston-birmingham,The Aesthetics Doctors | Skincare | Microneedling | Polynucleotides I Botox I Fillers | Edgbaston | Birmingham,"44 George Rd, Birmingham B15 1PL, United Kingdom",B15 1PL,Birmingham,52.4822694,-1.8900078,52.471477,-1.913832
2011,wrong area,blossomfield-dental-care,Blossomfield Dental Care,"284-286 Blossomfield Rd, Solihull B91 1TH, United Kingdom",B91 1TH,Solihull,52.411811,-1.77761,52.404966,-1.805053
1976,wrong area,al-aesthetics-botox-and-lip-fillers-wolverhampton,AL Aesthetics - Botox and Lip fillers Wolverhampton,"102 Tettenhall Rd, Wolverhampton WV6 0BW, United Kingdom",WV6 0BW,Wolverhampton,52.5868159,-2.1256587,52.592728,-2.153238
1962,wrong area,newtown-dental-practice-and-opticians,Newtown Dental Practice and Opticians,"15 Wheeler St, Birmingham B19 2ER, United Kingdom",B19 2ER,Birmingham,52.4822694,-1.8900078,52.497676,-1.904118
1936,wrong area,hello-skin-clinic,Hello Skin Clinic,"21 Sheepcote St, Birmingham B16 8AB, United Kingdom",B16 8AB,Birmingham,52.4822694,-1.8900078,52.478546,-1.917941
1913,wrong area,broad-oaks-health-clinic,Broad Oaks Health Clinic,"Broad Oaks Health Clinic, 394 Warwick Rd, Solihull B91 1BB, United Kingdom",B91 1BB,Solihull,52.411811,-1.77761,52.424819,-1.796069
1913,wrong area,dove-house-psychology-services,Dove House Psychology Services,"394 Warwick Rd, Solihull B91 1BB, United Kingdom",B91 1BB,Solihull,52.411811,-1.77761,52.424819,-1.796069
1913,wrong area,hilary-dixon-at-positive-new-you-limited,Hilary Dixon at Positive New You Limited,"Broad Oaks Health Clinic, 394 Warwick Rd, Solihull B91 1BB, United Kingdom",B91 1BB,Solihull,52.411811,-1.77761,52.424819,-1.796069
1895,wrong area,the-dentist-at-liberty-place-birmingham-dental-clinic,The Dentist at Liberty Place - Birmingham Dental Clinic,"3/4/5, Liberty Place, Sheepcote St, Birmingham B16 8AE, United Kingdom",B16 8AE,Birmingham,52.4822694,-1.8900078,52.479157,-1.917527
1886,wrong area,a-new-day-counselling,A New Day Counselling,"19 St Judes Rd, Wolverhampton WV6 0EB, United Kingdom",WV6 0EB,Wolverhampton,52.5868159,-2.1256587,52.593027,-2.151645
1886,wrong area,elysium-counselling-services,Elysium Counselling Services,"177 Tettenhall Rd, Wolverhampton WV6 0BZ, United Kingdom",WV6 0BZ,Wolverhampton,52.5868159,-2.1256587,52.591353,-2.152554
1860,wrong area,birmingham-solihull-mental-health-nhs-trust,Birmingham & Solihull Mental Health NHS Trust,"1, B1, 50 Summer Hill Rd, Birmingham B1 3RB, United Kingdom",B1 3RB,Birmingham,52.4822694,-1.8900078,52.484129,-1.917312
1848,wrong area,deep-beauty-and-aesthetics,Deep Beauty and Aesthetics,"41 Darlaston Rd, Walsall WS2 9QT, United Kingdom",WS2 9QT,Walsall,52.5866367,-1.984534,52.574003,-2.002312
1821,wrong area,humanima-cic,HumAnima CIC,"67 Clark Rd, Wolverhampton WV3 9PA, United Kingdom",WV3 9PA,Wolverhampton,52.5868159,-2.1256587,52.588027,-2.152543
1804,wrong area,hillary-street-dental-surgery,Hillary Street Dental Surgery,"1 Hillary St, Pleck, Walsall WS2 9BP, United Kingdom",WS2 9BP,Walsall,52.5866367,-1.984534,52.572619,-1.997989
1757,wrong area,kays-counselling,Kays Counselling,"71 Vyse St, Birmingham B18 6EX, United Kingdom",B18 6EX,Birmingham,52.4822694,-1.8900078,52.49093,-1.911717
1752,wrong area,dsd-dental-laboratory-ltd,DSD Dental Laboratory Ltd,"84a Vyse St, Birmingham B18 6HA, United Kingdom",B18 6HA,Birmingham,52.4822694,-1.8900078,52.4904,-1.912175
1724,wrong area,lush-aesthetics-and-beauty,Lush Aesthetics and beauty,"Branston Court, Branston St, Birmingham B18 6BA, United Kingdom",B18 6BA,Birmingham,52.4822694,-1.8900078,52.490615,-1.911468
1697,wrong area,the-skin-practice,The skin practice,"115 Warstone Ln, Birmingham B18 6NG, United Kingdom",B18 6NG,Birmingham,52.4822694,-1.8900078,52.486859,-1.913905
1693,wrong area,dr-st-medical-aesthetics-and-laser-clinic,Dr ST Medical Aesthetics and Laser Clinic,"167 Warstone Ln, Birmingham B18 6NN, United Kingdom",B18 6NN,Birmingham,52.4822694,-1.8900078,52.487272,-1.913624
1692,wrong area,openforwards,Openforwards,"95 Spencer St, Birmingham B18 6DA, United Kingdom",B18 6DA,Birmingham,52.4822694,-1.8900078,52.489833,-1.91169
1649,wrong area,new-cross-hospital-ent,New Cross Hospital ENT,"Wednesfield Road, Wolverhampton WV10 0QP, United Kingdom",WV10 0QP,Wolverhampton,52.5902523,-2.1143126,52.599738,-2.095549
1646,wrong area,nv-microsuction,NV Microsuction,"Attwood Green Pharmay, 30 Bath Row, Birmingham B15 1LZ, United Kingdom",B15 1LZ,Birmingham,52.4822694,-1.8900078,52.472642,-1.908471
1643,wrong area,parkdale-dental-and-implant-clinic,Parkdale Dental and Implant Clinic,"82 Tettenhall Rd, Wolverhampton WV1 4TF, United Kingdom",WV1 4TF,Wolverhampton,52.5868159,-2.1256587,52.590099,-2.149376
1635,wrong area,halfway-house-dental-invisalign-orthodontic-clinic,Halfway House Dental & Invisalign Orthodontic Clinic,"Halfway House, Dental 151 Tettenhall Rd, Tettenhall, Wolverhampton WV3 9NJ, United Kingdom",WV3 9NJ,Wolverhampton,52.5868159,-2.1256587,52.589496,-2.149463
1602,wrong area,change-birmingham-brief-therapy,Change Birmingham Brief Therapy,"120 Vyse St, Birmingham B18 6NF, United Kingdom",B18 6NF,Birmingham,52.4822694,-1.8900078,52.487604,-1.911989
1602,wrong area,the-growth-guidance-clinic,The Growth & Guidance Clinic,"120 Vyse St, Birmingham B18 6NF, United Kingdom",B18 6NF,Birmingham,52.4822694,-1.8900078,52.487604,-1.911989
