from,to,status,reason
/general-surgeon-orthopaedic-surgeon/mr-matija-krkovic,/specialists/mr-matija-krkovic,301,live listing
/germany/hannover/general-practioners/breastx-die-brustexperten,,410,out of scope — deliberately gone
/hong-kong/general-practioners/獸醫村莊,,410,out of scope — deliberately gone
/hong-kong/tsim-sha-tsui-east/general-practioners/誠摯護理,,410,out of scope — deliberately gone
/hove/hove-park-physio,/search?location=Hove,301,not imported — town only
/hove/lifelong-physiotherapy,/search?location=Hove,301,not imported — town only
/https//wolverhamptonhipandkneeclinic-co-uk/,/,301,nothing known
/india/chhatrapati-sambhajinagar/physiotherapist/advance-physiotherapy-clinic-dr-kalyani-toshniwal-modani,,410,out of scope — deliberately gone
/india/patna/general-practioners/advanced-neuro,,410,out of scope — deliberately gone
/india/patna/gynaecology/pushpanjali-multispeciality-hospital,,410,out of scope — deliberately gone
/india/pimpri-chinchwad/dentistry/burute-dental-best-dental-implant-specialist-in-wakad-dr-madhura-burute-wakad-pimpri-chinchwad-pune,,410,out of scope — deliberately gone
/india/pune/dentistry/house-of-tooth,,410,out of scope — deliberately gone
/leeds/physio-action,/search?location=Leeds,301,not imported — town only
/leeds/the-treadmill,/search?location=Leeds,301,not imported — town only
/liverpool/functional-movement-physio,/search?location=Liverpool,301,not imported — town only
/liverpool/the-physiotherapy-centre,/search?location=Liverpool,301,not imported — town only
/london/complete-physio,/search?location=London,301,not imported — town only
/london/covent-garden-physiotherapy,/search?location=London,301,not imported — town only
/london/king-edward-vii-s-hospital,/search?location=London,301,not imported — town only
/london/london-physio,/search?location=London,301,not imported — town only
/london/msk-physiotherapy,/search?location=London,301,not imported — town only
/london/rose-clinic-performance-physiotherapy-ltd,/search?location=London,301,not imported — town only
/netherlands/1406-kl-bussum/general-practioners/nose-reconstruction-clinic-nneusreconstructie-kliniek,,410,out of scope — deliberately gone
/newcastle-upon-tyne/gosforth-physio-wellness,/search?location=Newcastle%20Upon%20Tyne,301,not imported — town only
/newcastle-upon-tyne/ne-physio,/search?location=Newcastle%20Upon%20Tyne,301,not imported — town only
/newcastle-upon-tyne/newcastle-physiotherapy-jesmond,/search?location=Newcastle%20Upon%20Tyne,301,not imported — town only
/newcastle-upon-tyne/physiotherapy-matters-ltd-gosforth,/search?location=Newcastle%20Upon%20Tyne,301,not imported — town only
