# How each leaf of the specialty tree is treated by
# scripts/derive-treatments.mjs: is it something a patient HAS, or
# something a clinician DOES?
#
# The kinds below were produced by a keyword rule and it is wrong in
# places. Correct a row here and the correction wins, permanently.
# kind: treatment | condition | skip
#
# matchesOn is what the scanner actually looks for in a description.
#
slug,kind,name,branch,matchesOn
wrist-arthroscopy,treatment,Wrist Arthroscopy,orthopaedics,Wrist Arthroscopy
ganglion-cyst,condition,Ganglion Cyst,orthopaedics,Ganglion Cyst
de-quervains-tenosynovitis,condition,De Quervain's Tenosynovitis,orthopaedics,De Quervain's Tenosynovitis
tfcc-injury,condition,TFCC Injury,orthopaedics,TFCC Injury
scaphoid-fracture,condition,Scaphoid Fracture,orthopaedics,Scaphoid Fracture
hand-and-wrist-wrist-fracture,condition,Wrist Fracture,orthopaedics,Wrist Fracture
hand-and-wrist-hand-fracture,condition,Hand Fracture,orthopaedics,Hand Fracture
hand-and-wrist-tendon-injury,condition,Tendon Injury,orthopaedics,Tendon Injury
nerve-injury,condition,Nerve Injury,orthopaedics,Nerve Injury
sports-hand-injury,condition,Sports Hand Injury,orthopaedics,Sports Hand Injury
hand-wrist-injection,treatment,Hand / Wrist Injection,orthopaedics,Wrist Injection
back-pain,condition,Back Pain,orthopaedics,Back Pain
neck-pain,condition,Neck Pain,orthopaedics,Neck Pain
sciatica,condition,Sciatica,orthopaedics,Sciatica
lumbar-disc-prolapse,condition,Lumbar Disc Prolapse,orthopaedics,Lumbar Disc Prolapse
cervical-disc-prolapse,condition,Cervical Disc Prolapse,orthopaedics,Cervical Disc Prolapse
spinal-stenosis,condition,Spinal Stenosis,orthopaedics,Spinal Stenosis
spondylolisthesis,condition,Spondylolisthesis,orthopaedics,Spondylolisthesis
degenerative-disc-disease,condition,Degenerative Disc Disease,orthopaedics,Degenerative Disc Disease
scoliosis,condition,Scoliosis,orthopaedics,Scoliosis
spinal-fracture,condition,Spinal Fracture,orthopaedics,Spinal Fracture
spinal-tumour,condition,Spinal Tumour,orthopaedics,Spinal Tumour
spinal-infection,condition,Spinal Infection,orthopaedics,Spinal Infection
spinal-decompression,treatment,Spinal Decompression,orthopaedics,Spinal Decompression
discectomy,treatment,Discectomy,orthopaedics,Discectomy
spinal-fusion,treatment,Spinal Fusion,orthopaedics,Spinal Fusion
cervical-spine-surgery,treatment,Cervical Spine Surgery,orthopaedics,Cervical Spine Surgery
lumbar-spine-surgery,treatment,Lumbar Spine Surgery,orthopaedics,Lumbar Spine Surgery
minimally-invasive-spine-surgery,treatment,Minimally Invasive Spine Surgery,orthopaedics,Minimally Invasive Spine Surgery
spinal-injection,treatment,Spinal Injection,orthopaedics,Spinal Injection
sports-injuries-sports-knee-injury,condition,Sports Knee Injury,orthopaedics,Sports Knee Injury
sports-injuries-sports-shoulder-injury,condition,Sports Shoulder Injury,orthopaedics,Sports Shoulder Injury
sports-injuries-sports-hip-injury,condition,Sports Hip Injury,orthopaedics,Sports Hip Injury
sports-injuries-sports-foot-and-ankle-injury,condition,Sports Foot & Ankle Injury,orthopaedics,Sports Foot & Ankle Injury
sports-hand-and-wrist-injury,condition,Sports Hand & Wrist Injury,orthopaedics,Sports Hand & Wrist Injury
muscle-injury,condition,Muscle Injury,orthopaedics,Muscle Injury
sports-injuries-tendon-injury,condition,Tendon Injury,orthopaedics,Tendon Injury
ligament-injury,condition,Ligament Injury,orthopaedics,Ligament Injury
sports-injuries-cartilage-injury,condition,Cartilage Injury,orthopaedics,Cartilage Injury
return-to-sport-assessment,treatment,Return-to-Sport Assessment,orthopaedics,Return-to-Sport Assessment
upper-limb-fracture,condition,Upper Limb Fracture,orthopaedics,Upper Limb Fracture
lower-limb-fracture,condition,Lower Limb Fracture,orthopaedics,Lower Limb Fracture
trauma-and-fractures-hip-fracture,condition,Hip Fracture,orthopaedics,Hip Fracture
trauma-and-fractures-knee-fracture,condition,Knee Fracture,orthopaedics,Knee Fracture
shoulder-fracture,condition,Shoulder Fracture,orthopaedics,Shoulder Fracture
trauma-and-fractures-elbow-fracture,condition,Elbow Fracture,orthopaedics,Elbow Fracture
trauma-and-fractures-wrist-fracture,condition,Wrist Fracture,orthopaedics,Wrist Fracture
trauma-and-fractures-hand-fracture,condition,Hand Fracture,orthopaedics,Hand Fracture
trauma-and-fractures-ankle-fracture,condition,Ankle Fracture,orthopaedics,Ankle Fracture
trauma-and-fractures-foot-fracture,condition,Foot Fracture,orthopaedics,Foot Fracture
non-union-delayed-union,condition,Non-union / Delayed Union,orthopaedics,Non-union | Delayed Union
complex-trauma,condition,Complex Trauma,orthopaedics,Complex Trauma
post-traumatic-arthritis,condition,Post-traumatic Arthritis,orthopaedics,Post-traumatic Arthritis
paediatric-hip-disorders,condition,Paediatric Hip Disorders,orthopaedics,Paediatric Hip Disorders
developmental-dysplasia-of-the-hip,condition,Developmental Dysplasia of the Hip,orthopaedics,Developmental Dysplasia of the Hip
perthes-disease,condition,Perthes Disease,orthopaedics,Perthes Disease
slipped-upper-femoral-epiphysis,condition,Slipped Upper Femoral Epiphysis,orthopaedics,Slipped Upper Femoral Epiphysis
paediatric-knee-disorders,condition,Paediatric Knee Disorders,orthopaedics,Paediatric Knee Disorders
paediatric-foot-and-ankle-disorders,condition,Paediatric Foot & Ankle Disorders,orthopaedics,Paediatric Foot & Ankle Disorders
clubfoot,condition,Clubfoot,orthopaedics,Clubfoot
limb-deformity,condition,Limb Deformity,orthopaedics,Limb Deformity
limb-length-discrepancy,condition,Limb Length Discrepancy,orthopaedics,Limb Length Discrepancy
paediatric-fractures,condition,Paediatric Fractures,orthopaedics,Paediatric Fractures
scoliosis-in-children,condition,Scoliosis in Children,orthopaedics,Scoliosis in Children
sports-injuries-in-children,condition,Sports Injuries in Children,orthopaedics,Sports Injuries in Children
general-orthopaedic-assessment,treatment,General Orthopaedic Assessment,orthopaedics,General Orthopaedic Assessment
joint-pain,condition,Joint Pain,orthopaedics,Joint Pain
musculoskeletal-pain,condition,Musculoskeletal Pain,orthopaedics,Musculoskeletal Pain
fracture-follow-up,condition,Fracture Follow-up,orthopaedics,Fracture Follow-up
knee-physiotherapy,treatment,Knee Physiotherapy,physiotherapy,Knee Physiotherapy
hip-physiotherapy,treatment,Hip Physiotherapy,physiotherapy,Hip Physiotherapy
shoulder-physiotherapy,treatment,Shoulder Physiotherapy,physiotherapy,Shoulder Physiotherapy
elbow-physiotherapy,treatment,Elbow Physiotherapy,physiotherapy,Elbow Physiotherapy
foot-and-ankle-physiotherapy,treatment,Foot & Ankle Physiotherapy,physiotherapy,Foot & Ankle Physiotherapy
hand-and-wrist-physiotherapy,treatment,Hand & Wrist Physiotherapy,physiotherapy,Hand & Wrist Physiotherapy
back-pain-physiotherapy,treatment,Back Pain Physiotherapy,physiotherapy,Back Pain Physiotherapy
neck-pain-physiotherapy,treatment,Neck Pain Physiotherapy,physiotherapy,Neck Pain Physiotherapy
arthritis-physiotherapy,treatment,Arthritis Physiotherapy,physiotherapy,Arthritis Physiotherapy
joint-pain-physiotherapy,treatment,Joint Pain Physiotherapy,physiotherapy,Joint Pain Physiotherapy
sports-injury-assessment,treatment,Sports Injury Assessment,physiotherapy,Sports Injury Assessment
acl-rehabilitation,treatment,ACL Rehabilitation,physiotherapy,ACL Rehabilitation
meniscus-rehabilitation,treatment,Meniscus Rehabilitation,physiotherapy,Meniscus Rehabilitation
running-injury-rehabilitation,treatment,Running Injury Rehabilitation,physiotherapy,Running Injury Rehabilitation
football-injury-rehabilitation,treatment,Football Injury Rehabilitation,physiotherapy,Football Injury Rehabilitation
rugby-injury-rehabilitation,treatment,Rugby Injury Rehabilitation,physiotherapy,Rugby Injury Rehabilitation
tendon-rehabilitation,treatment,Tendon Rehabilitation,physiotherapy,Tendon Rehabilitation
muscle-injury-rehabilitation,treatment,Muscle Injury Rehabilitation,physiotherapy,Muscle Injury Rehabilitation
return-to-sport-rehabilitation,treatment,Return-to-Sport Rehabilitation,physiotherapy,Return-to-Sport Rehabilitation
sports-performance-rehabilitation,treatment,Sports Performance Rehabilitation,physiotherapy,Sports Performance Rehabilitation
knee-replacement-rehabilitation,treatment,Knee Replacement Rehabilitation,physiotherapy,Knee Replacement Rehabilitation
hip-replacement-rehabilitation,treatment,Hip Replacement Rehabilitation,physiotherapy,Hip Replacement Rehabilitation
acl-reconstruction-rehabilitation,treatment,ACL Reconstruction Rehabilitation,physiotherapy,ACL Reconstruction Rehabilitation
shoulder-surgery-rehabilitation,treatment,Shoulder Surgery Rehabilitation,physiotherapy,Shoulder Surgery Rehabilitation
rotator-cuff-repair-rehabilitation,treatment,Rotator Cuff Repair Rehabilitation,physiotherapy,Rotator Cuff Repair Rehabilitation
spinal-surgery-rehabilitation,treatment,Spinal Surgery Rehabilitation,physiotherapy,Spinal Surgery Rehabilitation
foot-and-ankle-surgery-rehabilitation,treatment,Foot & Ankle Surgery Rehabilitation,physiotherapy,Foot & Ankle Surgery Rehabilitation
post-fracture-rehabilitation,treatment,Post-fracture Rehabilitation,physiotherapy,Post-fracture Rehabilitation
stroke-rehabilitation,treatment,Stroke Rehabilitation,physiotherapy,Stroke Rehabilitation
parkinsons-physiotherapy,treatment,Parkinson's Physiotherapy,physiotherapy,Parkinson's Physiotherapy
multiple-sclerosis-physiotherapy,treatment,Multiple Sclerosis Physiotherapy,physiotherapy,Multiple Sclerosis Physiotherapy
spinal-cord-injury-rehabilitation,treatment,Spinal Cord Injury Rehabilitation,physiotherapy,Spinal Cord Injury Rehabilitation
balance-and-gait-rehabilitation,treatment,Balance & Gait Rehabilitation,physiotherapy,Balance & Gait Rehabilitation
neurological-mobility-rehabilitation,treatment,Neurological Mobility Rehabilitation,physiotherapy,Neurological Mobility Rehabilitation
womens-pelvic-health,condition,Women's Pelvic Health,physiotherapy,Women's Pelvic Health
mens-pelvic-health,condition,Men's Pelvic Health,physiotherapy,Men's Pelvic Health
pelvic-floor-rehabilitation,treatment,Pelvic Floor Rehabilitation,physiotherapy,Pelvic Floor Rehabilitation
postnatal-physiotherapy,treatment,Postnatal Physiotherapy,physiotherapy,Postnatal Physiotherapy
urinary-incontinence-physiotherapy,treatment,Urinary Incontinence Physiotherapy,physiotherapy,Urinary Incontinence Physiotherapy
pelvic-pain-physiotherapy,treatment,Pelvic Pain Physiotherapy,physiotherapy,Pelvic Pain Physiotherapy
breathing-rehabilitation,treatment,Breathing Rehabilitation,physiotherapy,Breathing Rehabilitation
airway-clearance,condition,Airway Clearance,physiotherapy,Airway Clearance
copd-rehabilitation,treatment,COPD Rehabilitation,physiotherapy,COPD Rehabilitation
post-operative-chest-physiotherapy,treatment,Post-operative Chest Physiotherapy,physiotherapy,Post-operative Chest Physiotherapy
chronic-pain-rehabilitation,treatment,Chronic Pain Rehabilitation,physiotherapy,Chronic Pain Rehabilitation
persistent-musculoskeletal-pain,condition,Persistent Musculoskeletal Pain,physiotherapy,Persistent Musculoskeletal Pain
functional-rehabilitation,treatment,Functional Rehabilitation,physiotherapy,Functional Rehabilitation
strength-and-conditioning,condition,Strength & Conditioning,physiotherapy,Strength & Conditioning
falls-prevention,condition,Falls Prevention,physiotherapy,Falls Prevention
older-adult-rehabilitation,treatment,Older Adult Rehabilitation,physiotherapy,Older Adult Rehabilitation
general-physiotherapy-assessment,treatment,General Physiotherapy Assessment,physiotherapy,General Physiotherapy Assessment
mobility-rehabilitation,treatment,Mobility Rehabilitation,physiotherapy,Mobility Rehabilitation
exercise-therapy,treatment,Exercise Therapy,physiotherapy,Exercise Therapy
dental-check-up,condition,Dental Check-up,dentistry,Dental Check-up
dental-hygiene,condition,Dental Hygiene,dentistry,Dental Hygiene
fillings,condition,Fillings,dentistry,Fillings
tooth-extraction,treatment,Tooth Extraction,dentistry,Tooth Extraction
general-dentistry-root-canal-treatment,treatment,Root Canal Treatment,dentistry,Root Canal Treatment
emergency-dentist,condition,Emergency Dentist,dentistry,Emergency Dentist
dental-pain,condition,Dental Pain,dentistry,Dental Pain
gum-disease-treatment,treatment,Gum Disease Treatment,dentistry,Gum Disease Treatment
dental-implants,treatment,Dental Implants,dentistry,Dental Implants
single-tooth-implant,treatment,Single Tooth Implant,dentistry,Single Tooth Implant
multiple-dental-implants,treatment,Multiple Dental Implants,dentistry,Multiple Dental Implants
full-arch-implants,treatment,Full Arch Implants,dentistry,Full Arch Implants
all-on-4-full-mouth-implants,treatment,All-on-4 / Full Mouth Implants,dentistry,All-on-4 | Full Mouth Implants
implant-supported-dentures,treatment,Implant-supported Dentures,dentistry,Implant-supported Dentures
bone-grafting,treatment,Bone Grafting,dentistry,Bone Grafting
sinus-lift,treatment,Sinus Lift,dentistry,Sinus Lift
dental-implant-revision,treatment,Dental Implant Revision,dentistry,Dental Implant Revision
teeth-whitening,treatment,Teeth Whitening,dentistry,Teeth Whitening
dental-veneers,treatment,Dental Veneers,dentistry,Dental Veneers
composite-bonding,treatment,Composite Bonding,dentistry,Composite Bonding
smile-makeover,condition,Smile Makeover,dentistry,Smile Makeover
cosmetic-crowns,treatment,Cosmetic Crowns,dentistry,Cosmetic Crowns
white-fillings,condition,White Fillings,dentistry,White Fillings
gum-contouring,treatment,Gum Contouring,dentistry,Gum Contouring
braces,treatment,Braces,dentistry,Braces
clear-aligners,treatment,Clear Aligners,dentistry,Clear Aligners
invisalign-type-treatment,treatment,Invisalign-type Treatment,dentistry,Invisalign-type Treatment
adult-orthodontics,condition,Adult Orthodontics,dentistry,Adult Orthodontics
childrens-orthodontics,condition,Children's Orthodontics,dentistry,Children's Orthodontics
retainers,condition,Retainers,dentistry,Retainers
complex-orthodontics,condition,Complex Orthodontics,dentistry,Complex Orthodontics
dental-crowns,treatment,Dental Crowns,dentistry,Dental Crowns
dental-bridges,condition,Dental Bridges,dentistry,Dental Bridges
dentures,treatment,Dentures,dentistry,Dentures
full-mouth-rehabilitation,treatment,Full Mouth Rehabilitation,dentistry,Full Mouth Rehabilitation
tooth-wear,condition,Tooth Wear,dentistry,Tooth Wear
complex-restorative-dentistry,condition,Complex Restorative Dentistry,dentistry,Complex Restorative Dentistry
gum-disease,condition,Gum Disease,dentistry,Gum Disease
periodontitis,condition,Periodontitis,dentistry,Periodontitis
gum-surgery,treatment,Gum Surgery,dentistry,Gum Surgery
gum-grafting,treatment,Gum Grafting,dentistry,Gum Grafting
dental-implant-gum-care,treatment,Dental Implant Gum Care,dentistry,Dental Implant Gum Care
endodontics-root-canal-treatment,treatment,Root Canal Treatment,dentistry,Root Canal Treatment
root-canal-re-treatment,treatment,Root Canal Re-treatment,dentistry,Root Canal Re-treatment
complex-endodontics,condition,Complex Endodontics,dentistry,Complex Endodontics
dental-trauma,condition,Dental Trauma,dentistry,Dental Trauma
wisdom-tooth-removal,treatment,Wisdom Tooth Removal,dentistry,Wisdom Tooth Removal
surgical-tooth-extraction,treatment,Surgical Tooth Extraction,dentistry,Surgical Tooth Extraction
oral-lesion-assessment,treatment,Oral Lesion Assessment,dentistry,Oral Lesion Assessment
jaw-cyst-treatment,treatment,Jaw Cyst Treatment,dentistry,Jaw Cyst Treatment
pre-implant-oral-surgery,treatment,Pre-implant Oral Surgery,dentistry,Pre-implant Oral Surgery
childrens-dental-check-up,condition,Children's Dental Check-up,dentistry,Children's Dental Check-up
childrens-fillings,condition,Children's Fillings,dentistry,Children's Fillings
dental-trauma-in-children,condition,Dental Trauma in Children,dentistry,Dental Trauma in Children
preventive-dentistry-for-children,condition,Preventive Dentistry for Children,dentistry,Preventive Dentistry for Children
anti-wrinkle-treatment,treatment,Anti-wrinkle Treatment,aesthetics-specialists,Anti-wrinkle Treatment
dermal-fillers,treatment,Dermal Fillers,aesthetics-specialists,Dermal Fillers
lip-enhancement,treatment,Lip Enhancement,aesthetics-specialists,Lip Enhancement
cheek-enhancement,treatment,Cheek Enhancement,aesthetics-specialists,Cheek Enhancement
jawline-contouring,treatment,Jawline Contouring,aesthetics-specialists,Jawline Contouring
chin-enhancement,treatment,Chin Enhancement,aesthetics-specialists,Chin Enhancement
non-surgical-rhinoplasty,treatment,Non-surgical Rhinoplasty,aesthetics-specialists,Non-surgical Rhinoplasty
